;; SKK dictionary filtered by BCCWJ frequency data
;;
;; Filtered for Commander X16 Japanese editor
;; Selection based on BCCWJ corpus frequency rankings
;;
;; okuri-ari entries.
しかm /顰/
あs /悪/褪/
こんg /今/
はしr /走/
かかわr /係/関/拘/
とt /取/問/撮/採/執/捕/訪/摂/盗/
とc /取/問/撮/採/執/捕/訪/摂/盗/
まi /舞/巻/捲/撒/蒔/播/卷/
はたらk /働/
おくr /送/遅/贈/後/
わたr /渡/航/亙/亘/
どうz /動/同/
どうj /動/同/
おこr /怒/起/興/熾/
ふくs /復/服/伏/
もとづk /基/
つt /突/釣/吊/
かw /変/代/交/買/替/換/飼/支/
ちかk /近/
えがk /描/画/
ちいさi /小/
そt /沿/剃/反/添/
わらu /笑/
むr /群/蒸/
いずr /何/
りょうr /料/
すm /住/済/澄/棲/栖/清/酸/
もちいr /用/
いy /居/射/鋳/
おもi /重/思/想/
たのs /楽/愉/
さe /冴/
うごk /動/
ひk /引/退/弾/曳/惹/干/牽/曵/索/挽/碾/轢/乾/簸/
むずかしi /難/
むずかs /難/
なo /綯/
やめr /止/辞/痛/罷/病/已/
まもr /守/護/
やt /遣/殺/
おいs /美味/老/追/
おもしろi /面白/
がんばr /頑張/
ひかr /光/干枯/干涸/惹/
ただs /正/但/質/糾/糺/
なs /済/成/生/為/無/
もうしこm /申し込/申込/
きb /着/黄/気/
ふえr /殖/増/
きづk /気付/築/
ちかi /近/誓/
ひくi /低/
ことなr /異/
あがr /挙/騰/揚/
けんs /検/験/
ことs /糊塗/
ようs /要/擁/
うれs /嬉/
つもr /積/
ひろi /広/拾/
つm /詰/積/摘/抓/
はじm /始/初/甫/恥/
かぎr /限/
しらべr /調/
ともなu /伴/
ふらんs /腐乱/腐爛/
そc /沿/剃/反/添/
いこu /憩/
さがs /探/捜/
かc /買/飼/刈/穫/苅/駆/駈/借/狩/交/支/
すなわt /即/
かたr /語/騙/
うm /生/埋/産/倦/熟/績/膿/得/憂/
のこs /残/遺/
ねr /寝/練/煉/錬/
みg /見/身/診/観/視/看/
どr /撮/取/捕/
ほてr /火照/熱/
うつくs /美/
いたr /至/到/
あらt /洗/濯/
くb /焼/
かいs /解/介/会/
しっかr /確/聢/
しばらk /暫/
すわr /座/坐/据/
ぶr /触/降/振/
あらわs /表/現/著/顕/露/
なt /鳴/成/為/生/綯/
あそb /遊/
かんがe /考/
おこs /興/起/熾/尾篭/尾籠/烏滸/
きまr /決/
ごt /乞/
ばi /穿/履/這/
しめr /湿/
ころs /殺/
おどろk /驚/
こまr /困/
のぞk /除/覗/
にr /似/煮/
くわs /詳/委/精/
おもいだs /思い出/思出/
くりかえs /繰り返/繰返/
めいz /命/銘/
めいj /命/銘/
うしなu /失/喪/
たがi /互/違/
しろi /白/
きびs /厳/酷/
みm /見/身/診/観/視/看/
わr /割/破/
といあわs /問い合/問合/
うr /得/売/熟/賣/
とおs /通/徹/透/遠/
かわいi /可愛/
のぼr /上/登/昇/
ゆるs /許/赦/緩/
めざs /目指/芽差/目差/
ずt /刷/擦/摺/
つn /積/摘/釣/詰/吊/
ぼうs /忘/
ちなm /因/
せk /咳/急/堰/塞/
まわr /回/廻/
きz /気/着/
きj /着/
むかえr /迎/
おとn /劣/
いn /往/射/入/居/要/忌/炒/鋳/煎/熬/
うたu /歌/唄/詠/唱/謡/謳/
やさs /優/易/恥/
ばs /馳/
ただしi /正/
くみあi /組み合/組合/
ひどi /酷/
いz /居/射/鋳/
いj /居/射/鋳/
あm /編/
にくi /憎/
まるd /丸/
かるi /軽/
いらi /弄/
ぎm /決/
ふるi /古/旧/故/震/奮/揮/振/篩/
えd /得/獲/
ながれr /流/
おs /惜/押/推/圧/捺/
さt /去/
むしr /寧/毟/
ふr /触/降/振/狂/震/旧/古/
ありがとu /有難/
まいr /参/詣/
きs /期/着/帰/来/記/
いかn /如何/怒/
きえr /消/
ばk /穿/履/化/
まちがi /間違/
こわi /強/怖/恐/
まさn /正/勝/優/
さいt /最/
やがt /軈/
こうz /講/貢/高/嵩/薨/
こうj /講/高/困/嵩/
はらu /払/祓/
かつt /嘗/
はi /這/履/吐/穿/掃/剥/矧/佩/
まなb /学/學/
はげs /激/劇/烈/
どm /止/留/
いs /委/慰/医/美/射/居/良/鋳/
うd /茹/得/
おu /追/負/逐/
さs /刺/指/然/差/射/点/挿/注/
ならb /並/列/陳/
はr /張/晴/貼/腫/
つながr /繋/継/
くm /組/汲/酌/
きt /来/切/着/斬/伐/
でかけr /出掛/
よそu /装/
たのm /頼/
あi /合/開/会/空/遭/逢/明/厭/飽/遇/
にs /似/煮/
すごs /過/凄/
ちかづk /近付/
ざi /咲/裂/
はたs /果/
ねk /寝/根/
よろしk /宜/
よろs /宜/
あk /開/空/明/飽/厭/
とどk /届/
とb /飛/跳/翔/
くらb /比/較/競/
きょうj /興/
やさi /恥/
かb /黴/
あつまr /集/
みつめr /見詰/
うしr /後/
いのt /祈/祷/
いのc /祈/祷/
ゆk /行/逝/往/
とまr /止/泊/留/停/
ぐらm /暗/
ふn /踏/降/振/践/履/旧/古/震/
よろこb /喜/悦/歓/慶/
こたe /答/応/堪/
じょs /叙/序/恕/除/
きょうg /興/
ふくr /膨/脹/
かえs /返/帰/還/孵/替/
はこb /運/
がs /貸/賀/
たb /食/給/賜/
ものがたr /物語/
いだk /抱/懐/
つらi /辛/
ふy /増/殖/
すばらs /素晴/
おかs /侵/犯/冒/可笑/
えんj /演/
しかt /確/聢/叱/呵/
さむi /寒/
いたi /痛/
とo /問/訪/
ぞu /添/
おj /怖/
のばs /伸/延/
となr /隣/
がr /枯/借/涸/刈/
おとs /落/
あかi /赤/紅/
しかk /爾/然/仕掛/
むすb /結/掬/
みじかi /短/
なみd /波/
うなずk /頷/肯/首肯/点頭/
もたらs /齎/
べっd /別/
におi /臭/匂/
おそi /遅/襲/
ゆe /言/謂/云/結/
ふk /吹/更/噴/蒸/拭/深/耽/老/葺/
ねむr /眠/睡/
ながめr /眺/
とりくm /取り組/取組/
くらs /暮/暗/
ぬk /抜/脱/吐/
おっしゃr /仰/
かくs /画/劃/隠/角/
ようやk /漸/
もr /盛/漏/洩/
かたi /硬/固/堅/難/
つかm /捕/掴/捉/攫/
にk /似/煮/
なおs /直/尚/治/
いくr /幾/
あつかu /扱/
さけb /叫/
えe /得/獲/
ささえr /支/
つきあu /付き合/付合/
だんj /断/
よわi /弱/
おとずれr /訪/
かんg /勘/
うs /失/得/憂/
そだてr /育/
なm /無/舐/嘗/甜/並/
くu /食/喰/
めぐr /回/巡/廻/
うすi /薄/
きょうs /供/狂/饗/
はk /履/吐/捌/穿/掃/噴/佩/
かかえr /抱/
とりあえz /取り合/取合/
ごとs /如/
たたかu /戦/闘/
であu /出会/出合/出逢/
もうs /申/
つかれr /疲/
のぞm /望/臨/挑/
ついn /終/遂/
がi /書/掻/描/飼/
はd /恥/
かよu /通/
うけとr /受け取/受取/
へr /経/減/歴/
がらs /辛/
ねt /寝/練/煉/錬/
せt /迫/競/糶/
くろi /黒/
いかs /異化/
とおi /遠/
たたk /叩/敲/
あまi /甘/
うかがu /伺/窺/
しm /占/絞/締/閉/染/浸/凍/沁/滲/緊/
ながs /流/長/永/
にw /似/煮/
そうs /奏/相/草/
おちつk /落ち着/落着/
はずs /外/
しはらi /支払/
しょうj /生/
こすt /擦/
すi /好/酸/吸/空/漉/鋤/抄/透/梳/
とりしまr /取り締/取締/
まつr /奉/祭/献/祀/
うけつk /受け付/受付/
わs /和/
いたm /炒/痛/悼/傷/撓/
なやm /悩/
しるs /記/印/誌/徴/標/著/
せまi /狭/
ごm /込/混/
へんz /変/
へんj /変/
はb /羽/
だまr /黙/
たとe /例/譬/喩/
きりすt /切り捨/切捨/
あらu /洗/濯/
めずらしi /珍/
めずらs /珍/
まわs /回/廻/
おb /帯/負/
かおr /馨/薫/香/
しげk /繁/
たたかi /戦/闘/
おo /雄/追/負/逐/
さびs /寂/淋/
しはらu /支払/
たんn /単/
かまu /構/
おろs /降/卸/
のt /乗/載/告/宣/
のc /乗/載/告/宣/
いそがs /忙/
てんz /転/点/
てんj /転/点/
ふりかえr /振り返/振返/
けs /消/
ねがi /願/
つめたi /冷/
つつm /包/慎/障/恙/
しゃべr /喋/
むs /蒸/生/咽/噎/産/
とりだs /取り出/取出/
ひr /放/乾/干/簸/
はs /派/馳/
めだt /目立/芽立/
ねらu /狙/
かこu /囲/
にぎr /握/
せんじt /煎/
あつi /暑/熱/厚/篤/
もどs /戻/
きらi /嫌/
ひさしi /久/尚/
ひさs /久/尚/
あたi /能/
たもt /保/
むk /向/剥/
ひきつづk /引き続/引続/
がたi /堅/難/
やすm /休/安/易/
りょうt /料/
みなs /看做/見做/
いそg /急/
うかb /浮/
かs /課/科/架/呵/貸/化/仮/嫁/
つくs /尽/
つぎつg /次ぎ次/
じi /強/
せまr /迫/
いまd /未/
へi /経/剥/歴/折/
うまr /生/埋/
しくm /仕組/
はいt /這/入/
はいc /入/
そだt /育/
わずk /僅/
いg /良/居/射/鋳/
ひz /乾/干/簸/
おそr /恐/畏/慴/
こi /濃/恋/来/請/扱/漕/放/乞/
こまかi /細/
ひb /乾/干/簸/
おもn /重/主/
くs /奇/
がc /刈/飼/
うりあg /売り上/
さr /去/
つぶやk /呟/
かg /嗅/
みたs /充/満/
ことわr /断/理/
かなs /悲/哀/
ふせg /防/拒/禦/伏/
まちがu /間違/
そうz /騒/
そうj /総/
かがやk /輝/耀/
こくd /酷/
かくt /確/
かねr /兼/
つi /次/付/着/就/注/突/継/従/告/嗣/接/訃/衝/点/撞/附/搗/
かんs /冠/観/関/緘/姦/
うつr /移/映/写/
ほそi /細/
さそu /誘/
きんj /禁/
ていs /呈/挺/訂/
そうぞk /装束/
なb /並/
おそれr /恐/
はかs /捌/
つなg /繋/
つc /釣/吊/
いかr /怒/
ひh /乾/干/簸/
とりあつかi /取り扱/取扱/
うばu /奪/
よろしi /宜/
このm /好/
あぶr /炙/焙/
なおr /治/直/
うつs /移/写/映/寫/撮/遷/
いきおi /勢/
まよu /迷/
あおi /青/蒼/仰/扇/煽/
たまn /偶/堪/溜/
ゆうs /有/幽/
ほn /彫/掘/
はずかs /恥/
いちじるs /著/
はいs /排/廃/拝/配/
はさm /挟/夾/鋏/剪/挾/
うみだs /生み出/
ふやs /増/殖/
ひびk /響/
ぬr /塗/濡/
おおu /覆/蔽/被/
かこm /囲/
じょうz /乗/
こめr /込/篭/籠/
かざr /飾/
はるk /遥/
こy /小/肥/来/
ほんn /本/
きc /切/来/着/斬/伐/
くるs /苦/
ひっぱr /引っ張/引張/
まねk /招/真似/
おそu /襲/
そろu /揃/
ひろb /広/
おi /追/老/置/負/於/措/逐/
たんなr /単/
こうb /香/芳/
ちb /禿/血/
おどr /踊/躍/
ためs /試/験/
すくu /救/掬/巣食/
ひろs /広/
あらかじm /予/
はたk /叩/
まk /負/巻/敗/捲/撒/蒔/卷/播/
うたがu /疑/
こうs /抗/航/
とおk /遠/
ひm /秘/日/乾/干/簸/
しんじt /信/
のb /述/伸/延/陳/
ついd /序/
ふとi /太/
くだr /降/下/
あかr /明/赤/
つきあi /付き合/付合/
うながs /促/
かぶr /被/
あんn /暗/案/
めm /目/女/
うわまわr /上回/上廻/
たまr /堪/溜/
そそg /注/濯/雪/
しゅt /主/
